No,name,score,recommendation,yanyuan,daoyan,year,country,classes
143,玛丽和马克思,9.0,你是我最好的朋友，你是我唯一的朋友 。,主演: 托妮·科莱特 Toni Collette / 菲利...,导演: 亚当·艾略特 Adam Elliot,2009,澳大利亚 美国,剧情 喜剧 动画
144,告白,8.8,没有一人完全善，也没有一人完全恶。,主演: 松隆子 Takako Matsu / 冈田将生 ...,导演: 中岛哲也 Tetsuya Nakashima,2010,日本,剧情 悬疑
145,大鱼,8.8,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,主演: 伊万·麦克格雷格 Ewan McGregor / 阿...,导演: 蒂姆·波顿 Tim Burton,2003,美国,剧情 家庭 奇幻 冒险
146,哪吒闹海,9.2,想你时你在闹海。,主演: 梁正晖 Zhenghui ...,导演: 王树忱 Shuchen Wang / 严定宪 Dingxian Yan,1979,中国大陆,冒险 动画 奇幻
147,射雕英雄传之东成西就,8.7,百看不厌。 ,主演: 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...,导演: 刘镇伟 Jeffrey Lau,1993,中国香港,喜剧 奇幻 武侠 古装
148,头号玩家,8.7,写给影迷，动漫迷和游戏迷的一封情书。,主演: 泰伊·谢里丹 Tye Sheri...,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,2018,美国,动作 科幻 冒险
149,模仿游戏,8.8,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,主演: 本尼迪克特·康伯巴奇 Benedict C...,导演: 莫滕·泰杜姆 Morten Tyldum,2014,英国 美国,剧情 传记 战争 同性
150,喜宴,9.0,中国家庭的喜怒哀乐忍。,主演: 赵文瑄 Winston Chao / 归亚蕾 Ya-lei Kuei / 郎...,导演: 李安 Ang Lee,1993,中国台湾 美国,剧情 喜剧 爱情 同性 家庭
151,阳光姐妹淘,8.8,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,主演: 沈恩京 Eun-kyung Shim / 闵孝琳 Hy...,导演: 姜炯哲 Hyeong-Cheol Kang,2011,韩国,剧情 喜剧
152,我是山姆,9.0,爱并不需要智商 。,主演: Sean Penn / Dakota Fanning / Mi...,导演: 杰茜·尼尔森 Jessie Nelson,2001,美国,剧情 家庭
153,九品芝麻官,8.7,,主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng / ...,导演: 王晶 Jing Wong,1994,中国香港 中国大陆,剧情 喜剧 古装
154,茶馆,9.6,,主演: 于是之 Shizhi Yu / 郑榕 Rong Zhen / 蓝天野 T...,导演: 谢添 Tian Xie,1982(中国大陆),中国大陆,剧情 历史
155,恐怖直播,8.7,恐怖分子的“秋菊打官司”。,主演: 河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...,导演: 金秉祐 Byeong-woo Kim,2013,韩国,剧情 犯罪 悬疑
156,花样年华,8.7,偷情本没有这样美。,主演: 梁朝伟 Tony Leung Chiu Wai / 张曼玉 Ma...,导演: 王家卫 Kar Wai Wong,2000,中国香港,剧情 爱情
157,血战钢锯岭,8.7,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,主演: 安德鲁·加菲尔德 Andrew Garfield /...,导演: 梅尔·吉布森 Mel Gibson,2016,澳大利亚 美国,剧情 传记 历史 战争
158,七武士,9.3,时代悲歌。,主演: 三船敏郎 Toshirô Mifune / 志村乔 ...,导演: 黑泽明 Akira Kurosawa,1954,日本,动作 冒险 剧情
159,色，戒,8.7,假戏真情，爱欲深海,主演: 梁朝伟 Tony Leung Chiu Wai / 汤唯 Wei Tang / ...,导演: 李安 Ang Lee,2007,中国台湾 中国大陆 美国 中国香港,剧情 爱情 情色
160,头脑特工队,8.8,愿我们都不用长大，每一座城堡都能永远存在。,,导演: 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...,2015,美国,喜剧 动画 冒险
161,惊魂记,9.0,故事的反转与反转，分裂电影的始祖。,主演: 安东尼·博金斯 Antho...,导演: 阿尔弗雷德·希区柯克 Alfred Hitchcock,1960,美国,悬疑 惊悚 恐怖
162,黑客帝国3：矩阵革命,8.8,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,...,导演: 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,2003,美国,动作 科幻
163,你的名字。,8.5,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,主演: 神木隆之介 Ryûnosuke Kamiki / 上...,导演: 新海诚 Makoto Shinkai,2016,日本,剧情 爱情 动画
164,电锯惊魂,8.8,真相就在眼前。,主演: 雷·沃纳尔 Leigh Whannell / 加利·艾...,导演: 詹姆斯·温 James Wan,2004,美国,悬疑 惊悚 恐怖
165,三块广告牌,8.7,怼天怼地，你走后，她与世界为敌。,主演: 弗兰西斯·麦克多蒙德 France...,导演: 马丁·麦克唐纳 Martin McDonagh,2017,英国 美国,剧情 犯罪
166,达拉斯买家俱乐部,8.8,Jared Leto的腿比女人还美！,主演: 马修·麦康纳 Matthew McCon...,导演: 让-马克·瓦雷 Jean-Marc Vallée,2013,美国,剧情 传记 同性
167,疯狂原始人,8.7,老少皆宜，这就是好莱坞动画的魅力。,主演...,导演: 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,2013,美国,喜剧 动画 冒险
168,心迷宫,8.7,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,主演: 霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ...,导演: 忻钰坤 Yukun Xin,2014,中国大陆,剧情 犯罪 悬疑
169,谍影重重3,8.8,像吃了苏打饼一样干脆的电影。,主演: 马特·达蒙 Matt Damon / ...,导演: 保罗·格林格拉斯 Paul Greengrass,2007,美国 德国 法国 英国,动作 悬疑 惊悚
170,上帝之城,9.0,被上帝抛弃了的上帝之城。,,导演: 费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund  &nbsp...,2002,巴西 法国,犯罪 剧情
171,英雄本色,8.6,英雄泪短，兄弟情长。 ,主演: 周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...,导演: 吴宇森 John Woo,1986,中国香港,剧情 动作 犯罪
172,卢旺达饭店,8.9,当这个世界闭上双眼，他却敞开了怀抱。,主演: 唐·钱德尔 Don Cheadle / 苏菲·奥...,导演: 特瑞·乔治 Terry George,2004,英国 南非 意大利 美国,剧情 传记 历史 战争
173,纵横四海,8.8,香港浪漫主义警匪动作片的巅峰之作。,主演: 周润发 Yun-Fat Chow / 张国荣 Leslie Cheung...,导演: 吴宇森 John Woo,1991,中国香港,剧情 喜剧 动作 犯罪
174,风之谷,8.9,动画片的圣经。,主演: 岛本须美 Sumi Shimamoto / 松田洋治 Y...,导演: 宫崎骏 Hayao Miyazaki,1984,日本,动画 奇幻 冒险
175,海街日记,8.8,是枝裕和的家庭习作。,主演: 绫濑遥 Haruka Ayase / 长泽雅美 M...,导演: 是枝裕和 Hirokazu Koreeda,2015,日本,剧情 家庭
176,爱在午夜降临前,8.9,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,主演: 伊桑·霍克 Ethan Hawke ...,导演: 理查德·林克莱特 Richard Linklater,2013,美国 希腊,剧情 爱情
177,绿里奇迹,8.9,天使暂时离开。,主演: 汤姆·汉克斯 Tom Hanks / ...,导演: 弗兰克·德拉邦特 Frank Darabont,1999,美国,犯罪 剧情 奇幻 悬疑
178,记忆碎片,8.7,一个针管引发的血案。,主演: 盖·皮尔斯 Guy Pearce /...,导演: 克里斯托弗·诺兰 Christopher Nolan,2000,美国,犯罪 剧情 悬疑 惊悚
179,岁月神偷,8.7,岁月流逝，来日可追。,主演: 吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...,导演: 罗启锐 Alex Law,2010,中国香港 中国大陆,剧情 家庭
180,忠犬八公物语,9.2,养狗三日，便会对你终其一生。,主演: 仲代达矢 Tatsuya Nakadai /...,导演: 神山征二郎 Seijirô Kôyama,1987,日本,剧情
181,荒蛮故事,8.8,始于荒诞，止于更荒诞。,主演: 达里奥·葛兰帝内提 Darío...,导演: 达米安·斯兹弗隆 Damián Szifron,2014,阿根廷 西班牙,剧情 喜剧 犯罪
182,疯狂的石头,8.6,中国版《两杆大烟枪》。,主演: 郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin,导演: 宁浩 Hao Ning,2006,中国大陆 中国香港,喜剧 犯罪
183,雨中曲,9.1,骨灰级歌舞片。,主演: 吉恩·...,导演: 斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,1952,美国,喜剧 歌舞 爱情
184,小偷家族,8.7,我们组成了家。,主演: 中川雅也 Lily Franky / 安藤樱 Sa...,导演: 是枝裕和 Hirokazu Koreeda,2018,日本,剧情 犯罪 家庭
185,爆裂鼓手,8.7,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,主演: 迈尔斯·特勒 Miles Teller /...,导演: 达米恩·查泽雷 Damien Chazelle,2014,美国,剧情 音乐
186,2001太空漫游,8.9,现代科幻电影的开山之作，最伟大导演的最伟大影片。,主演: 凯尔·杜拉 Keir Dullea / ...,导演: 斯坦利·库布里克 Stanley Kubrick,1968,英国 美国,科幻 惊悚 冒险
187,无敌破坏王,8.7,迪士尼和皮克斯拿错剧本的产物。,主演: 约翰·C·赖利 John C. Reilly / 萨拉...,导演: 瑞奇·莫尔 Rich Moore,2012,美国,喜剧 动画 奇幻 冒险
188,小丑,8.7,,主演: 杰昆·菲尼克斯 Joaquin Phoeni...,导演: 托德·菲利普斯 Todd Phillips,2019,美国 加拿大,剧情 犯罪 惊悚
189,背靠背，脸对脸,9.5,,主演: 牛振华 Zhenhua N...,导演: 黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang,1994,中国大陆 中国香港,剧情
190,无间道2,8.7,,主演: 陈冠希 Edison Chen / 余文乐 Shawn Yue / 曾...,导演: 刘伟强 / 麦兆辉,2003,中国香港,剧情 犯罪 惊悚
191,贫民窟的百万富翁,8.6,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,主演: 戴夫...,导演: 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,2008,英国,剧情 爱情
192,冰川时代,8.6,松鼠才是角儿。,主演...,导演: 卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,2002,美国,喜剧 动画 冒险
193,东邪西毒,8.6,电影诗。,主演: 张国荣 Leslie Cheung / 林青霞 Brigitte...,导演: 王家卫 Kar Wai Wong,1994,中国香港 中国台湾,剧情 动作 爱情 武侠 古装
194,恐怖游轮,8.5,不要企图在重复中寻找已经失去的爱。,主演: 梅利莎·乔治 Melissa ...,导演: 克里斯托弗·史密斯 Christopher Smith,2009,英国 澳大利亚,剧情 悬疑 惊悚
195,心灵奇旅,8.7,,主演: 杰米·...,导演: 彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers,2020,美国,动画 奇幻 音乐
196,牯岭街少年杀人事件,8.9,弱者送给弱者的一刀。,主演: 张震 Chen Chang / 杨静怡 Lisa Yang / 张...,导演: 杨德昌 Edward Yang,1991,中国台湾,剧情 犯罪
197,真爱至上,8.6,爱，是个动词。,主演: 休·格兰特 Hugh Grant / 柯林...,导演: 理查德·柯蒂斯 Richard Curtis,2003,英国 美国 法国,喜剧 剧情 爱情
198,遗愿清单,8.7,用剩余不多的时间，去燃烧整个生命。,主演: 杰克·尼科尔森 Jack Nicholson / 摩根...,导演: 罗伯·莱纳 Rob Reiner,2007,美国,冒险 喜剧 剧情
199,你看起来好像很好吃,8.9,感情不分食草或者食肉。,主演: 山口胜平 Kappei Yamaguchi / 爱河...,导演: 藤森雅也 Masaya Fujimori,2010,日本,剧情 动画 儿童
200,魔女宅急便,8.7,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,主演: 高山南 Minami Takayama / 佐久间玲 Re...,导演: 宫崎骏 Hayao Miyazaki,1989,日本,动画 奇幻 冒险
201,东京教父,9.0,,主演: 江守彻 Toru Emori / 梅垣义明 Yoshiaki Ume...,导演: 今敏 Satoshi Kon,2003,日本,剧情 喜剧 动画
202,大佛普拉斯,8.7,人们可以登上月球，却永远无法探索人们内心的宇宙。,主演: 庄益增 Yizeng Zhuang / 陈竹昇 Chu-sh...,导演: 黄信尧 Hsin-yao Huang,2017,中国台湾,剧情 喜剧
203,黑天鹅,8.6,黑暗之美。,主演: 娜塔莉·波特曼 Natalie...,导演: 达伦·阿罗诺夫斯基 Darren Aronofsky,2010,美国,剧情 惊悚
204,可可西里,8.9,坚硬的信仰。,主演: 多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L...,导演: 陆川 Chuan Lu,2004,中国大陆 中国香港,剧情 犯罪
205,城市之光,9.3,永远的小人物，伟大的卓别林。,主演: 查理·卓别林 Charles Chaplin / 弗吉尼亚·...,导演: Charles Chaplin,1931,美国,喜剧 剧情 爱情
206,源代码,8.5,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,主演: 杰克·吉伦哈尔 Jake Gyllenhaal / ...,导演: 邓肯·琼斯 Duncan Jones,2011,美国 加拿大,科幻 悬疑 惊悚
207,雨人,8.7,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,主演: 达斯汀·霍夫曼 Dustin Hoffman ...,导演: 巴瑞·莱文森 Barry Levinson,1988,美国,剧情
208,恋恋笔记本,8.5,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,主演: 瑞恩·高斯林 Ryan Gosling /...,导演: 尼克·卡索维茨 Nick Cassavetes,2004,美国,剧情 爱情
209,海边的曼彻斯特,8.6,我们都有权利不与自己的过去和解。,主演: 卡西·阿弗莱克 Casey Affle...,导演: 肯尼斯·罗纳根 Kenneth Lonergan,2016,美国,剧情 家庭
210,初恋这件小事,8.5,黑小鸭速效美白记。,,导演: 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...,2010,泰国,剧情 喜剧 爱情
211,人工智能,8.7,对爱的执着，可以超越一切。,主演: 海利·乔·奥斯蒙 Haley...,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,2001,美国 英国,剧情 科幻
212,虎口脱险,8.9,永远看不腻的喜剧。,主演: 路易·德·菲耐斯 Louis de Funès...,导演: 杰拉尔·乌里 Gérard Oury,1966,法国 英国,喜剧 战争
213,波西米亚狂想曲,8.6,,主演: 拉米·马雷克 Rami Malek / 本·哈...,导演: 布莱恩·辛格 Bryan Singer,2018,英国 美国,剧情 传记 同性 音乐
214,青蛇,8.6,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,主演: 张曼玉 Maggie Cheung / 王祖贤 Joey Wang / ...,导演: 徐克 Hark Tsui,1993,中国香港 中国大陆,剧情 爱情 奇幻 古装
215,终结者2：审判日,8.8,少见的超越首部的续集，动作片中的经典。,主演: 阿诺·施瓦辛格 Arnold Schwarz...,导演: 詹姆斯·卡梅隆 James Cameron,1991,美国 法国,动作 科幻
216,罗生门,8.8,人生的N种可能性。,主演: 三船敏郎 Toshirô Mifune / 京町子 ...,导演: 黑泽明 Akira Kurosawa,1950,日本,剧情 犯罪 悬疑
217,萤火虫之墓,8.7,幸福是生生不息，却难以触及的远。 ,主演: 辰己努 / 白石绫乃 / 志乃原良子,导演: 高畑勋 Isao Takahata,1988,日本,动画 剧情 战争
218,疯狂的麦克斯4：狂暴之路,8.7,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,主演: 汤姆·哈迪 Tom Hardy / 查理兹·塞...,导演: 乔治·米勒 George Miller,2015,澳大利亚 美国,动作 科幻 冒险
219,新龙门客栈,8.7,嬉笑怒骂，调风动月。,主演: 张曼玉 Maggie Cheung / 林青霞 Brigitte ...,导演: 李惠民 Raymond Lee,1992,中国香港 中国大陆,动作 爱情 武侠 古装
220,千钧一发,8.8,一部能引人思考的科幻励志片。,主演: 伊桑·霍克 Ethan Hawke / 乌玛...,导演: 安德鲁·尼科尔 Andrew Niccol,1997,美国,剧情 科幻 惊悚
221,无耻混蛋,8.6,昆汀同学越来越变态了，比北野武还杜琪峰。,主演: 布拉德·皮特 Brad Pitt / ...,导演: 昆汀·塔伦蒂诺 Quentin Tarantino,2009,德国 美国,剧情 犯罪
222,崖上的波妞,8.6,,主演: 奈良柚莉爱 Yuria Nara / 土井洋辉 Hir...,导演: 宫崎骏 Hayao Miyazaki,2008,日本,动画 奇幻 冒险
223,奇迹男孩,8.6,世界不完美，爱会有奇迹。,主演: 雅各布·特伦布莱 Jacob Tr...,导演: 斯蒂芬·卓博斯基 Stephen Chbosky,2017,美国 中国香港,剧情 儿童 家庭
224,末路狂花,8.9,没有了退路，只好飞向自由。,主演: 吉娜·戴维斯 Geena Davis / 苏...,导演: 雷德利·斯科特 Ridley Scott,1991,美国 英国 法国,犯罪 剧情 惊悚
225,二十二,8.7,有一些东西不应该被遗忘。,主演: ,导演: 郭柯 Ke Guo,2015,中国大陆,纪录片
226,彗星来的那一夜,8.6,小成本大魅力。,主演: 艾米丽·芭尔多尼 Em...,导演: 詹姆斯·沃德·布柯特 James Ward Byrkit,2013,美国 英国,科幻 悬疑 惊悚
227,黑客帝国2：重装上阵,8.7,一个精彩的世界观正在缓缓建立。,...,导演: 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,2003,美国,动作 科幻
228,花束般的恋爱,8.6,,主演: 菅田将晖 Masaki Suda / 有村架纯 Kasu...,导演: 土井裕泰 Nobuhiro Doi,2021,日本,剧情 爱情
229,爱乐之城,8.4,,主演: 瑞恩·高斯林 Ryan Gosling /...,导演: 达米恩·查泽雷 Damien Chazelle,2016,美国,剧情 爱情 歌舞
230,血钻,8.7,每个美丽事物背后都是滴血的现实。,主演: 莱昂纳多·迪卡普里奥 Leonardo ...,导演: 爱德华·兹威克 Edward Zwick,2006,美国 德国 英国,剧情 惊悚 冒险
231,房间,8.8,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,主演: 布丽·拉尔森 Brie Larson...,导演: 伦尼·阿伯拉罕森 Lenny Abrahamson,2015,爱尔兰 加拿大 英国 美国,剧情 家庭
232,战争之王,8.7,做一颗让别人需要你的棋子。,主演: 尼古拉斯·凯奇 Nicolas Cage /...,导演: 安德鲁·尼科尔 Andrew Niccol,2005,法国 德国 美国,剧情 犯罪
233,步履不停,8.8,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,主演: 阿部宽 Hiroshi Abe / 夏川结衣 Yu...,导演: 是枝裕和 Hirokazu Koreeda,2008,日本,剧情 家庭
234,魂断蓝桥,8.8,中国式内在的美国电影。,主演: 费雯·丽 Vivien Leigh / 罗伯特·...,导演: 茂文·勒鲁瓦 Mervyn LeRoy,1940,美国,剧情 爱情 战争
235,火星救援,8.5,,主演: 马特·达蒙 Matt Damon / 杰西卡...,导演: 雷德利·斯科特 Ridley Scott,2015,英国 美国 匈牙利 约旦,剧情 科幻 冒险
236,芙蓉镇,9.3,,主演: 刘晓庆 Xiaoqing Liu / 姜文 Wen Jiang / 郑在石...,导演: 谢晋 Jin Xie,1987,中国大陆,剧情 爱情
237,哈利·波特与死亡圣器(上),8.5,最忠于原著的一部。,主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...,导演: 大卫·叶茨 David Yates,2010,英国 美国,奇幻 冒险
238,千年女优,8.8,爱情是一场没有尽头的虚幻追逐。,主演: 庄司美代子 Miyoko Shôji / 小山茉美 Mam...,导演: 今敏 Satoshi Kon,2001,日本,动画 剧情 爱情
239,谍影重重2,8.7,谁说王家卫镜头很晃？,主演: 马特·达蒙 Matt Damon / ...,导演: 保罗·格林格拉斯 Paul Greengrass,2004,美国 德国,动作 悬疑 惊悚
240,阿飞正传,8.5,王家卫是一种风格，张国荣是一个代表。,主演: 张国荣 Leslie Cheung / 张曼玉 Maggie C...,导演: 王家卫 Kar Wai Wong,1990,中国香港,犯罪 剧情 爱情
241,燃情岁月,8.8,传奇，不是每个人都可以拥有。,主演: 布拉德·皮特 Brad Pitt / 安东...,导演: 爱德华·兹威克 Edward Zwick,1994,美国,剧情 爱情 战争 西部
242,弱点,8.7,拍掉身上的悲伤，从今天开始重新踏上追梦之旅。,主演: 桑德拉·布洛克 Sandra Bu...,导演: 约翰·李·汉考克 John Lee Hancock,2009,美国,剧情 家庭 传记 运动
243,谍影重重,8.6,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,主演: 马特·达蒙 Matt Damon / 弗兰卡·波坦...,导演: 道格·里曼 Doug Liman,2002,美国 德国 捷克,动作 悬疑 惊悚
244,朗读者,8.6,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,主演: 凯特·温丝莱特 Kate Winslet ...,导演: 史蒂芬·戴德利 Stephen Daldry,2008,美国 德国,剧情 爱情
245,再次出发之纽约遇见你,8.6,爱我就给我看你的播放列表。,主演: 凯拉·奈特莉 Keira Knightley / 马克...,导演: 约翰·卡尼 John Carney,2013,美国,喜剧 爱情 音乐
246,哈利·波特与凤凰社,8.5,,主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...,导演: 大卫·叶茨 David Yates,2007,英国 美国,奇幻 冒险
247,白日梦想家,8.6,,主演: 本·斯蒂勒 Ben Stiller / 克里斯汀·...,导演: 本·斯蒂勒 Ben Stiller,2013,美国 英国,剧情 喜剧 冒险
248,香水,8.5,一个单凭体香达到高潮的男人。,主演: 本·卫肖 Ben Whishaw / 艾伦·瑞克...,导演: 汤姆·提克威 Tom Tykwer,2006,德国 法国 西班牙 美国 比利时,剧情 犯罪 奇幻
249,海洋,9.1,大海啊，不全是水。,主演:...,导演: 雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud,2009,法国 瑞士 西班牙 美国 阿联酋 摩纳哥,纪录片
250,穿越时空的少女,8.6,爱上未来的你。 ,主演: 仲里依纱 Riisa Naka / 石田卓也 Takuya...,导演: 细田守 Mamoru Hosoda,2006,日本,剧情 爱情 科幻 动画
