No,name,score,recommendation,yanyuan,daoyan,year,country,classes
47,大话西游之月光宝盒,9.0,旷古烁今。,主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,导演: 刘镇伟 Jeffrey Lau,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装
48,天空之城,9.2,对天空的追逐，永不停止。 ,主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...,导演: 宫崎骏 Hayao Miyazaki,1986,日本,动画 奇幻 冒险
49,指环王2：双塔奇兵,9.2,承前启后的史诗篇章。,主演: 伊利亚·伍德 Elijah Wood / 西恩...,导演: 彼得·杰克逊 Peter Jackson,2002,美国 新西兰,剧情 动作 奇幻 冒险
50,闻香识女人,9.1,史上最美的探戈。,主演: 阿尔·帕西诺 Al Pacino / 克里斯...,导演: 马丁·布莱斯 Martin Brest,1992,美国,剧情
51,罗马假日,9.1,爱情哪怕只有一天。,主演: 奥黛丽·赫本 Audrey Hepburn / 格...,导演: 威廉·惠勒 William Wyler,1953,美国,喜剧 剧情 爱情
52,天堂电影院,9.2,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,主演: 菲利普·努瓦雷 Philipp...,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,1988,意大利 法国,剧情 爱情
53,死亡诗社,9.2,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...,导演: 彼得·威尔 Peter Weir,1989,美国,剧情
54,绿皮书,8.9,去除成见，需要勇气。,主演: 维果·莫腾森 Viggo Mortensen /...,导演: 彼得·法雷里 Peter Farrelly,2018,美国 中国大陆,剧情 喜剧 传记 音乐
55,大闹天宫,9.4,经典之作，历久弥新。,主演: 邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...,导演: 万籁鸣 Laiming Wan,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆),中国大陆,剧情 动画 奇幻 古装
56,指环王1：护戒使者,9.1,传说的开始。,主演: 伊利亚·伍德 Elijah Wood / 西恩...,导演: 彼得·杰克逊 Peter Jackson,2001,新西兰 美国,剧情 动作 奇幻 冒险
57,黑客帝国,9.1,视觉革命。,主...,导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski,1999,美国,动作 科幻
58,教父2,9.3,优雅的孤独。,主演: 阿尔·帕西诺 A...,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,1974,美国,剧情 犯罪
59,狮子王,9.1,动物版《哈姆雷特》。,主演: 乔纳森·泰勒·托马...,导演: Roger Allers / 罗伯·明可夫 Rob Minkoff,1994,美国,动画 冒险 歌舞
60,辩护人,9.2,电影的现实意义大过电影本身。,主演: 宋康昊 Kang-ho Song / 金英爱 Yeong-ae...,导演: 杨宇硕 Woo-seok Yang,2013,韩国,剧情
61,饮食男女,9.2,人生不能像做菜，把所有的料都准备好了才下锅。,主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,导演: 李安 Ang Lee,1994,中国台湾 美国,剧情 家庭
62,搏击俱乐部,9.0,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,主演: 爱德华·诺顿 Edward Norton / 布拉...,导演: 大卫·芬奇 David Fincher,1999,美国,剧情 动作 悬疑 惊悚
63,美丽心灵,9.1,爱是一切逻辑和原由。,主演: 罗素·克劳 Russell Crowe / 艾德·哈...,导演: 朗·霍华德 Ron Howard,2001,美国,传记 剧情
64,本杰明·巴顿奇事,9.0,在时间之河里感受溺水之苦。,主演: 凯特·布兰切特 Cate Blanchett / ...,导演: 大卫·芬奇 David Fincher,2008,美国,剧情 爱情 奇幻
65,穿条纹睡衣的男孩,9.2,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,主演: 阿萨·巴特菲尔德 Asa Butterfield ...,导演: 马克·赫尔曼 Mark Herman,2008,英国 美国,剧情 战争
